Year,Rk,Player,Team,Age,GP,W,L,Min,Def Rtg,DREB,DREB_per,Per_DREB,STL,STL_per,BLK,Per_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2nd_Chance,OPP_PTS_FB,OPP_PTS_Paint,DEF_WS
2017,1,Draymond Green,GSW,27,76,62,14,32.5,99.3,6.6,20.5,27.3,2,29.4,1.4,30.3,10.8,9.4,8.8,29.2,0.062
2017,2,Rudy Gobert,UTA,25,81,51,30,33.9,100.6,8.9,28.8,36.5,0.6,13.2,2.6,71.1,10.1,7.7,7.3,27.6,0.058
2017,3,Stephen Curry,GSW,29,79,65,14,33.4,100.9,3.7,11.3,15,1.8,24.1,0.2,4.5,11.4,9.5,10.1,31.1,0.058
2017,4,Klay Thompson,GSW,27,78,66,12,34,100.9,3,9.1,12.2,0.8,12.3,0.5,11.2,10.6,10.1,10,32.1,0.057
2017,5,Justise Winslow,MIA,21,18,4,14,34.7,101.5,3.9,12.2,15.8,1.4,30.2,0.3,8.2,9.5,9.6,5.8,29.1,0.056
2017,6,Kevin Durant,GSW,28,62,51,11,33.4,101.3,7.6,23.2,30.3,1.1,16.1,1.6,34.6,10.7,9.6,9.3,31.3,0.056
2017,7,Anthony Davis,NOP,24,75,31,44,36.1,102.5,9.5,26.9,34.9,1.3,22.2,2.2,49.9,12,8.8,9.6,31.9,0.054
2017,8,George Hill,UTA,31,49,33,16,31.5,101,2.9,10.5,12.9,1,23.8,0.2,7.1,8.5,6.3,6.9,24.7,0.052
2017,9,Gordon Hayward,UTA,27,73,46,27,34.5,102.4,4.7,15.2,19.4,1,21.2,0.3,7.4,10.3,7.9,7.5,29.1,0.052
2017,10,Chris Paul,LAC,32,61,43,18,31.5,101.3,4.3,14.9,18.8,2,36.8,0.1,5,9.2,7.2,8.5,25.9,0.052
2017,11,Victor Oladipo,OKC,25,67,39,28,33.2,102.1,3.8,12.3,15.4,1.2,19.9,0.3,9,11.6,8.2,7.8,31.3,0.051
2017,12,Jimmy Butler,CHI,27,76,40,36,37,103.4,4.5,13.1,17,1.9,30.6,0.4,10.7,11.2,9.2,10.6,34.2,0.051
2017,13,Paul Millsap,ATL,32,69,40,29,34,103,6.1,19.2,25.3,1.3,21.4,0.9,25.8,11.8,9.3,9,26.6,0.049
2017,14,Jrue Holiday,NOP,27,67,32,35,32.7,102.8,3.3,10.3,13.3,1.5,28,0.7,17.4,10.7,8,8.7,28.4,0.048
2017,15,Joel Embiid,PHI,23,31,13,18,25.4,99.1,5.9,24.7,31.9,0.9,21.6,2.5,63.9,10.6,5.8,8.5,20.2,0.048
2017,16,Kyle Lowry,TOR,31,60,36,24,37.4,104.6,4,12.1,16,1.5,21.9,0.3,9.1,11,10.3,8.5,32.5,0.046
2017,17,LaMarcus Aldridge,SAS,31,72,52,20,32.4,103,4.9,17.1,22,0.6,12.5,1.2,31.1,8.9,8.5,8.8,27.5,0.045
2017,18,Robert Covington,PHI,26,67,27,40,31.6,103.3,5.1,17.7,23.1,1.9,32,1,26.7,11.5,8.5,10.1,28.7,0.044
2017,19,Andre Iguodala,GSW,33,76,64,12,26.3,101,3.3,13.1,18,1,19.2,0.5,13,8.7,7.9,7.4,24.5,0.044
2017,20,Kawhi Leonard,SAS,26,74,54,20,33.4,104,4.7,16,20.6,1.8,32.6,0.7,18.2,9.5,8.6,8.8,28.4,0.043
2017,21,Andrew Bogut,CLE,32,27,8,19,21.6,97.4,6,32,39.9,0.5,14.1,0.9,59.5,6.9,4.3,5.6,14.5,0.043
2017,22,Danny Green,SAS,30,68,51,17,26.6,101.1,2.8,11.6,15.1,1,25,0.8,23.7,7.6,7.1,6.8,21.9,0.043
2017,23,Russell Westbrook,OKC,28,81,46,35,34.6,104.6,9,27.9,35.2,1.6,27,0.4,10.3,12.2,9,8.1,34.1,0.043
2017,24,DeAndre Jordan,LAC,28,81,51,30,31.7,103.7,10.1,34.3,43.7,0.6,12.1,1.7,58.8,9.8,8.2,9.8,26.7,0.043
2017,25,Josh Richardson,MIA,23,53,23,30,30.5,103.3,2.5,9.5,12.2,1.1,24.3,0.7,19.6,8.5,8.1,5.7,27.6,0.043
2017,26,Blake Griffin,LAC,28,61,40,21,34,104.6,6.3,20.4,26,0.9,16.9,0.4,12.2,10.9,8,9.9,29.5,0.042
2017,27,Dwight Howard,ATL,31,74,37,37,29.7,103.1,8.7,31,40.4,0.9,17.2,1.2,41.3,11.4,8.2,8.1,23.1,0.042
2017,28,Andre Roberson,OKC,25,79,46,33,30.1,103.3,3.9,13.8,17.3,1.2,21.9,1,30.7,10.8,7.4,6.6,28.5,0.042
2017,29,James Johnson,MIA,30,76,40,36,27.4,102.3,4.1,16.3,21,1,22.4,1.1,31.4,8.2,6.6,5.2,24.3,0.042
2017,30,Solomon Hill,NOP,26,80,34,46,29.7,103.4,3.2,11.3,14.7,0.9,18.7,0.4,12.2,9.7,7.5,8.1,27.3,0.041
