Year,Rk,Player,Team,Age,GP,W,L,Min,Pts_Off_TO,second_pts,FBPS,PITP,OPP_PTs_off_TO,OPP_sec_pts,OPP_FBPS,OPP_PITP,BLK,BLKA,PF,PFD
2018,1,Dragan Bender,PHX,20,82,21,61,25.2,0.9,0.6,0.4,1.6,9.6,7,7.7,24.9,0.6,0.3,2,0.7
2018,1,E'Twaun Moore,NOP,29,82,48,34,31.5,2.2,1.1,2.7,6,10.6,9,9.4,30.8,0.1,0.4,2.2,0.9
2018,1,PJ Tucker,HOU,33,82,65,17,27.8,1.2,0.9,0.6,1.2,9.3,7,7,26.7,0.3,0.2,2.5,1
2018,1,Pat Connaughton,POR,25,82,49,33,18.1,0.6,0.6,0.3,1.9,5.4,4.4,3.9,14.8,0.3,0.3,1.5,0.5
2018,1,Patrick Patterson,OKC,29,82,48,34,15.5,0.5,0.4,0.4,0.8,4.1,4.7,3.1,14.1,0.3,0.1,1.1,0.6
2018,1,Patty Mills,SAS,29,82,47,35,25.7,1.3,0.6,1.2,1.4,7.6,6.5,6.6,24.8,0.1,0.2,1.6,1.9
2018,1,Yogi Ferrell,DAL,25,82,24,58,27.8,1.6,1,1.3,2.3,7.6,6.5,7.5,23.2,0.1,0.4,1.9,1.7
2018,1,Joe Ingles,UTA,30,82,48,34,31.4,2,0.5,1.5,2.7,10.9,7,6.7,27.5,0.2,0.3,2.2,1.7
2018,1,Raymond Felton,OKC,34,82,48,34,16.6,1.1,0.4,0.4,2.1,4.5,5,3,14.7,0.2,0.3,1.1,0.7
2018,1,Khris Middleton,MIL,26,82,44,38,36.4,3.4,1.2,2.4,5.4,11.8,9.9,7.5,35.3,0.3,0.7,3.3,3.1
2018,1,Jakob Poeltl,TOR,22,82,59,23,18.6,1.1,2,0.5,6,5.7,5,4,17.2,1.2,0.4,2.6,1.4
2018,1,Julius Randle,LAL,23,82,35,47,26.7,2.4,2.8,2.7,11.5,10.4,7.1,7.4,27.2,0.5,1.3,3.3,4.1
2018,1,Ish Smith,DET,29,82,39,43,24.9,1.6,0.6,1.4,5.7,7.5,5.8,5,22.8,0.2,0.6,1.7,1.6
2018,1,Lance Stephenson,IND,27,82,48,34,22.6,1.5,1.1,1.3,3.9,7.3,5.6,5.7,21.3,0.2,0.4,2.2,1.6
2018,1,LeBron James,CLE,33,82,50,32,36.9,4.1,2.2,4.2,14.4,12.7,9.7,9.1,36.2,0.9,0.8,1.7,5.4
2018,1,Dillon Brooks,MEM,22,82,22,60,28.7,1.8,0.9,2,4.8,10.1,6.9,8.3,24.5,0.2,0.6,2.8,2.2
2018,1,Taj Gibson,MIN,33,82,47,35,33.2,2,2.5,0.8,8.7,9.9,9.1,8.9,31.1,0.7,0.7,2.7,1.9
2018,1,Taurean Prince,ATL,24,82,24,58,30,2.1,1.1,1.6,4.9,11.8,8.2,8.5,28.7,0.5,0.8,2,2.3
2018,1,Darius Miller,NOP,28,82,48,34,23.7,1,0.2,0.8,0.6,8.4,7.1,6.7,24.1,0.2,0.1,2,0.5
2018,1,Karl-Anthony Towns,MIN,22,82,47,35,35.6,3.1,3.9,0.7,10.5,10.8,9.3,9.4,33.2,1.4,0.8,3.5,4.6
2018,1,Cory Joseph,IND,26,82,48,34,27,1.2,1,0.9,2.4,8.2,6.8,6.4,24.2,0.2,0.3,1.7,1.6
2018,1,Marcin Gortat,WAS,34,82,43,39,25.3,0.9,1.2,0.3,6.1,8.7,6.2,5.9,24.2,0.7,0.6,2.1,2.3
2018,1,Tyus Jones,MIN,22,82,47,35,17.9,1.1,0.2,1.1,2.1,5.4,4.8,4.1,17.5,0.1,0.2,1.3,1
